age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,was_previously_contacted,age_band,has_any_loan,call_intensity,pdays_bucket,month_index,month_sin,month_cos,balance_per_age
38,admin.,single,secondary,no,100,1,0,unknown,7,may,786,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,2.6315789473684212
30,blue-collar,married,secondary,no,309,1,0,unknown,7,may,1574,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,10.3
29,management,married,tertiary,no,199,1,1,unknown,7,may,1689,4,-1,0,unknown,yes,0,25-34,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,6.862068965517241
46,blue-collar,single,tertiary,no,460,1,0,unknown,7,may,1102,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,10.0
31,technician,single,tertiary,no,703,1,0,unknown,8,may,943,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,22.677419354838708
35,management,divorced,tertiary,no,3837,1,0,unknown,8,may,1084,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,109.62857142857143
32,blue-collar,single,primary,no,611,1,0,unknown,8,may,541,3,-1,0,unknown,yes,0,25-34,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,19.09375
49,services,married,secondary,no,-8,1,0,unknown,8,may,1119,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,-0.16326530612244897
41,admin.,married,secondary,no,55,1,0,unknown,8,may,1120,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,1.3414634146341464
49,admin.,divorced,secondary,no,168,1,1,unknown,8,may,513,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,3.4285714285714284
28,admin.,divorced,secondary,no,785,1,0,unknown,8,may,442,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,28.035714285714285
43,management,single,tertiary,no,2067,1,0,unknown,8,may,756,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,48.06976744186046
43,management,divorced,tertiary,no,388,1,0,unknown,8,may,2087,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,9.023255813953488
43,blue-collar,married,primary,no,-192,1,0,unknown,8,may,1120,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,-4.465116279069767
37,unemployed,single,secondary,no,381,1,0,unknown,8,may,985,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,10.297297297297296
35,blue-collar,single,secondary,no,40,1,0,unknown,9,may,617,4,-1,0,unknown,yes,0,25-34,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,1.1428571428571428
31,technician,single,tertiary,no,22,1,0,unknown,9,may,483,3,-1,0,unknown,yes,0,25-34,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,0.7096774193548387
43,blue-collar,single,secondary,no,3,1,0,unknown,9,may,929,3,-1,0,unknown,yes,0,35-49,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,0.06976744186046512
31,admin.,married,secondary,no,307,1,0,unknown,9,may,538,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,9.903225806451612
28,blue-collar,single,secondary,no,759,1,0,unknown,9,may,710,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,27.107142857142858
32,blue-collar,married,secondary,yes,-1,1,0,unknown,9,may,653,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,-0.03125
60,technician,married,primary,no,65,1,0,unknown,9,may,1028,2,-1,0,unknown,yes,0,50-64,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,1.0833333333333333
26,blue-collar,single,secondary,no,82,1,0,unknown,9,may,654,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,3.1538461538461537
40,blue-collar,married,secondary,no,10,1,0,unknown,9,may,1692,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,0.25
33,blue-collar,divorced,primary,no,390,1,0,unknown,9,may,665,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,11.818181818181818
32,management,single,tertiary,no,311,0,0,unknown,12,may,757,2,-1,0,unknown,yes,0,25-34,0,2.0,never,5,0.49999999999999994,-0.8660254037844387,9.71875
35,blue-collar,married,primary,no,414,0,0,unknown,13,may,504,4,-1,0,unknown,yes,0,25-34,0,4.0,never,5,0.49999999999999994,-0.8660254037844387,11.82857142857143
33,management,divorced,secondary,no,5,1,0,unknown,13,may,1346,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,0.15151515151515152
38,management,married,tertiary,no,119,1,0,unknown,13,may,568,4,-1,0,unknown,yes,0,35-49,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,3.1315789473684212
23,entrepreneur,single,primary,no,4,1,0,unknown,13,may,395,2,-1,0,unknown,yes,0,<25,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,0.17391304347826086
60,blue-collar,married,primary,no,1262,1,1,unknown,13,may,1015,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,21.033333333333335
48,management,married,tertiary,no,1949,1,0,unknown,13,may,683,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,40.604166666666664
45,entrepreneur,divorced,tertiary,no,-395,1,0,unknown,13,may,470,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,-8.777777777777779
36,blue-collar,married,secondary,no,1165,1,0,unknown,13,may,1001,4,-1,0,unknown,yes,0,35-49,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,32.361111111111114
52,management,married,unknown,no,2240,1,0,unknown,13,may,845,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,43.07692307692308
35,blue-collar,divorced,primary,no,300,1,0,unknown,13,may,945,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,8.571428571428571
43,technician,married,secondary,no,3285,1,0,unknown,13,may,1721,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,76.3953488372093
52,housemaid,married,secondary,no,3923,1,0,unknown,14,may,942,3,-1,0,unknown,yes,0,50-64,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,75.4423076923077
53,technician,divorced,primary,no,1443,1,0,unknown,14,may,476,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,27.22641509433962
48,blue-collar,divorced,primary,no,24,1,0,unknown,14,may,832,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,0.5
41,blue-collar,single,primary,no,1618,1,0,unknown,14,may,1553,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,39.46341463414634
39,management,divorced,tertiary,no,517,1,1,unknown,14,may,1328,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,13.256410256410257
59,retired,married,secondary,no,1521,1,1,unknown,14,may,1125,2,-1,0,unknown,yes,0,50-64,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,25.779661016949152
41,blue-collar,married,secondary,no,2823,1,0,unknown,14,may,858,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,68.85365853658537
48,blue-collar,married,secondary,no,1405,1,0,unknown,14,may,629,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,29.270833333333332
40,admin.,married,secondary,no,1535,1,0,unknown,14,may,704,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,38.375
48,blue-collar,married,secondary,no,1596,1,0,unknown,14,may,760,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,33.25
60,retired,married,primary,no,1542,1,0,unknown,14,may,930,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,25.7
40,technician,single,unknown,no,3652,1,0,unknown,14,may,1028,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,91.3
57,technician,married,tertiary,no,-1,0,0,unknown,14,may,850,2,-1,0,unknown,yes,0,50-64,0,2.0,never,5,0.49999999999999994,-0.8660254037844387,-0.017543859649122806
51,blue-collar,married,secondary,no,7180,1,0,unknown,14,may,927,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,140.7843137254902
41,blue-collar,divorced,secondary,no,5291,1,0,unknown,14,may,1423,3,-1,0,unknown,yes,0,35-49,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,129.0487804878049
41,blue-collar,married,secondary,no,1384,1,0,unknown,15,may,1162,4,-1,0,unknown,yes,0,35-49,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,33.75609756097561
52,blue-collar,divorced,primary,no,-191,1,0,unknown,15,may,755,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,-3.673076923076923
59,blue-collar,married,primary,no,320,1,0,unknown,15,may,695,1,-1,0,unknown,yes,0,50-64,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,5.423728813559322
44,blue-collar,married,unknown,no,146,1,0,unknown,15,may,483,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,3.3181818181818183
49,unknown,married,primary,no,341,1,1,unknown,15,may,520,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,6.959183673469388
40,services,married,primary,no,-9,1,0,unknown,15,may,920,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,-0.225
41,admin.,married,primary,no,-306,1,0,unknown,15,may,500,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,-7.463414634146342
44,technician,married,tertiary,no,4580,1,0,unknown,15,may,911,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,104.0909090909091
60,services,single,primary,no,313,1,0,unknown,15,may,920,2,-1,0,unknown,yes,0,50-64,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,5.216666666666667
29,management,married,tertiary,no,10576,0,0,unknown,15,may,1224,2,-1,0,unknown,yes,0,25-34,0,2.0,never,5,0.49999999999999994,-0.8660254037844387,364.6896551724138
41,retired,divorced,primary,no,-233,1,0,unknown,15,may,1156,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,-5.682926829268292
41,blue-collar,married,primary,no,2453,1,0,unknown,15,may,1052,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,59.829268292682926
42,technician,single,secondary,no,1364,1,0,unknown,15,may,1867,6,-1,0,unknown,yes,0,35-49,1,6.0,never,5,0.49999999999999994,-0.8660254037844387,32.476190476190474
36,services,single,unknown,no,281,1,0,unknown,16,may,515,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,7.805555555555555
39,technician,married,tertiary,no,94,1,1,unknown,16,may,813,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,2.41025641025641
31,self-employed,single,tertiary,no,144,1,0,unknown,16,may,676,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,4.645161290322581
26,blue-collar,married,secondary,no,246,1,0,unknown,16,may,1143,3,-1,0,unknown,yes,0,25-34,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,9.461538461538462
31,blue-collar,married,secondary,no,92,1,0,unknown,16,may,688,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,2.967741935483871
29,admin.,single,secondary,no,163,1,1,unknown,16,may,803,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,5.620689655172414
37,services,divorced,secondary,no,49,1,0,unknown,16,may,619,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,1.3243243243243243
33,blue-collar,single,secondary,no,-416,1,0,unknown,16,may,767,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,-12.606060606060606
24,technician,single,secondary,no,409,1,0,unknown,16,may,912,1,-1,0,unknown,yes,0,<25,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,17.041666666666668
50,admin.,divorced,secondary,no,363,1,0,unknown,16,may,1340,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,7.26
27,technician,single,tertiary,no,3706,1,0,unknown,16,may,897,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,137.25925925925927
54,management,single,tertiary,no,4393,1,0,unknown,16,may,1297,3,-1,0,unknown,yes,0,50-64,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,81.35185185185185
30,technician,single,secondary,no,863,1,0,unknown,16,may,1193,5,-1,0,unknown,yes,0,25-34,1,5.0,never,5,0.49999999999999994,-0.8660254037844387,28.766666666666666
34,blue-collar,married,primary,no,695,1,1,unknown,16,may,1064,4,-1,0,unknown,yes,0,25-34,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,20.441176470588236
37,management,single,secondary,no,792,1,0,unknown,16,may,1187,4,-1,0,unknown,yes,0,35-49,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,21.405405405405407
41,admin.,single,secondary,no,1020,1,0,unknown,19,may,882,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,24.878048780487806
47,blue-collar,married,secondary,no,863,1,0,unknown,19,may,943,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,18.361702127659573
31,admin.,married,secondary,no,97,1,0,unknown,19,may,607,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,3.129032258064516
31,blue-collar,married,secondary,no,754,1,0,unknown,19,may,1022,4,-1,0,unknown,yes,0,25-34,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,24.322580645161292
43,services,divorced,secondary,no,1040,1,0,unknown,19,may,552,3,-1,0,unknown,yes,0,35-49,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,24.186046511627907
37,management,divorced,tertiary,no,122,1,0,unknown,19,may,1622,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,3.2972972972972974
30,technician,single,tertiary,no,880,1,1,unknown,19,may,967,6,-1,0,unknown,yes,0,25-34,1,6.0,never,5,0.49999999999999994,-0.8660254037844387,29.333333333333332
41,technician,married,secondary,no,501,1,0,unknown,19,may,579,5,-1,0,unknown,yes,0,35-49,1,5.0,never,5,0.49999999999999994,-0.8660254037844387,12.21951219512195
36,blue-collar,married,secondary,no,4438,1,0,unknown,20,may,446,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,123.27777777777777
35,blue-collar,divorced,secondary,no,0,1,0,unknown,20,may,1205,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,0.0
29,services,single,secondary,no,271,1,0,unknown,20,may,1882,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,9.344827586206897
35,blue-collar,married,primary,no,102,1,0,unknown,20,may,1334,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,2.914285714285714
31,blue-collar,married,secondary,no,2,1,0,unknown,20,may,182,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,0.06451612903225806
35,services,married,secondary,no,4170,1,0,unknown,20,may,1777,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,119.14285714285714
34,technician,single,secondary,no,85,1,0,unknown,20,may,1182,4,-1,0,unknown,yes,0,25-34,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,2.5
31,admin.,single,secondary,no,431,1,1,unknown,20,may,1045,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,13.903225806451612
44,technician,divorced,secondary,no,982,1,0,unknown,20,may,650,3,-1,0,unknown,yes,0,35-49,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,22.318181818181817
36,blue-collar,married,primary,no,408,1,1,unknown,20,may,1063,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,11.333333333333334
35,blue-collar,married,unknown,no,4822,1,0,unknown,20,may,843,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,137.77142857142857
41,blue-collar,married,primary,no,1250,1,0,unknown,20,may,1392,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,30.48780487804878
31,blue-collar,single,primary,no,216,1,0,unknown,21,may,565,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,6.967741935483871
34,blue-collar,married,secondary,no,1207,1,0,unknown,21,may,905,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,35.5
32,technician,married,secondary,no,791,1,0,unknown,21,may,783,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,24.71875
36,management,married,tertiary,no,849,1,1,unknown,21,may,958,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,23.583333333333332
30,blue-collar,single,secondary,yes,239,1,0,unknown,21,may,412,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,7.966666666666667
37,technician,single,secondary,no,1211,1,0,unknown,21,may,795,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,32.729729729729726
36,blue-collar,married,primary,no,599,1,0,unknown,21,may,649,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,16.63888888888889
31,management,single,tertiary,no,825,1,0,unknown,21,may,506,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,26.612903225806452
27,technician,married,secondary,no,2183,1,1,unknown,21,may,857,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,80.85185185185185
34,retired,married,primary,no,4499,0,0,unknown,21,may,1681,1,-1,0,unknown,yes,0,25-34,0,1.0,never,5,0.49999999999999994,-0.8660254037844387,132.3235294117647
30,technician,single,tertiary,no,1289,1,0,unknown,21,may,1697,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,42.96666666666667
32,technician,single,tertiary,no,4665,1,0,unknown,21,may,860,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,145.78125
37,technician,single,secondary,no,3326,1,0,unknown,21,may,799,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,89.89189189189189
32,blue-collar,married,secondary,no,783,1,0,unknown,21,may,923,3,-1,0,unknown,yes,0,25-34,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,24.46875
33,blue-collar,married,secondary,no,0,1,0,unknown,21,may,521,3,-1,0,unknown,yes,0,25-34,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,0.0
35,blue-collar,married,primary,no,994,1,0,unknown,23,may,1349,8,-1,0,unknown,yes,0,25-34,1,8.0,never,5,0.49999999999999994,-0.8660254037844387,28.4
35,self-employed,divorced,tertiary,no,1354,1,0,unknown,23,may,736,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,38.68571428571428
30,blue-collar,single,secondary,no,239,1,0,unknown,23,may,785,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,7.966666666666667
45,blue-collar,divorced,primary,no,-311,1,0,unknown,23,may,1030,1,-1,0,unknown,yes,0,35-49,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,-6.911111111111111
45,admin.,married,secondary,no,149,1,0,unknown,23,may,893,3,-1,0,unknown,yes,0,35-49,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,3.311111111111111
33,blue-collar,married,secondary,no,1464,1,0,unknown,23,may,588,3,-1,0,unknown,yes,0,25-34,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,44.36363636363637
44,management,divorced,tertiary,no,5773,0,0,unknown,23,may,597,6,-1,0,unknown,yes,0,35-49,0,6.0,never,5,0.49999999999999994,-0.8660254037844387,131.20454545454547
40,blue-collar,married,primary,no,278,1,0,unknown,23,may,1015,3,-1,0,unknown,yes,0,35-49,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,6.95
31,blue-collar,married,secondary,no,2910,1,0,unknown,23,may,1392,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,93.87096774193549
30,technician,married,tertiary,no,541,1,0,unknown,26,may,414,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,18.033333333333335
44,technician,divorced,secondary,no,1262,1,0,unknown,26,may,788,11,-1,0,unknown,yes,0,35-49,1,11.0,never,5,0.49999999999999994,-0.8660254037844387,28.681818181818183
34,services,married,secondary,no,-538,1,0,unknown,26,may,682,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,-15.823529411764707
37,blue-collar,married,secondary,no,125,0,0,unknown,26,may,679,2,-1,0,unknown,yes,0,35-49,0,2.0,never,5,0.49999999999999994,-0.8660254037844387,3.3783783783783785
28,self-employed,single,tertiary,no,0,1,0,unknown,26,may,1560,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,0.0
32,admin.,single,secondary,no,620,1,0,unknown,26,may,1234,3,-1,0,unknown,yes,0,25-34,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,19.375
37,blue-collar,divorced,secondary,no,316,1,0,unknown,26,may,642,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,8.54054054054054
34,management,married,tertiary,no,2287,1,0,unknown,26,may,895,4,-1,0,unknown,yes,0,25-34,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,67.26470588235294
38,admin.,divorced,secondary,no,198,1,0,unknown,26,may,431,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,5.2105263157894735
28,admin.,single,secondary,no,460,1,0,unknown,26,may,741,6,-1,0,unknown,yes,0,25-34,1,6.0,never,5,0.49999999999999994,-0.8660254037844387,16.428571428571427
31,management,divorced,tertiary,no,1145,1,0,unknown,26,may,1272,4,-1,0,unknown,yes,0,25-34,1,4.0,never,5,0.49999999999999994,-0.8660254037844387,36.935483870967744
59,services,married,secondary,no,-22,1,0,unknown,26,may,748,3,-1,0,unknown,yes,0,50-64,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,-0.3728813559322034
24,blue-collar,married,secondary,no,685,1,0,unknown,26,may,896,3,-1,0,unknown,yes,0,<25,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,28.541666666666668
26,services,single,secondary,no,901,1,0,unknown,26,may,764,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,34.65384615384615
59,retired,single,secondary,no,351,1,0,unknown,27,may,1063,5,-1,0,unknown,yes,0,50-64,1,5.0,never,5,0.49999999999999994,-0.8660254037844387,5.9491525423728815
30,entrepreneur,single,primary,no,0,1,1,unknown,27,may,1051,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,0.0
37,admin.,married,secondary,no,274,1,0,unknown,27,may,731,3,-1,0,unknown,yes,0,35-49,1,3.0,never,5,0.49999999999999994,-0.8660254037844387,7.405405405405405
30,admin.,single,secondary,no,-213,1,1,unknown,27,may,751,1,-1,0,unknown,yes,0,25-34,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,-7.1
25,blue-collar,married,secondary,no,97,1,0,unknown,27,may,709,1,-1,0,unknown,yes,0,<25,1,1.0,never,5,0.49999999999999994,-0.8660254037844387,3.88
44,services,divorced,secondary,no,51,1,1,unknown,27,may,3094,2,-1,0,unknown,yes,0,35-49,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,1.1590909090909092
29,management,married,tertiary,no,314,0,0,unknown,28,may,938,2,-1,0,unknown,yes,0,25-34,0,2.0,never,5,0.49999999999999994,-0.8660254037844387,10.827586206896552
26,management,single,tertiary,no,6840,1,0,unknown,28,may,1560,2,-1,0,unknown,yes,0,25-34,1,2.0,never,5,0.49999999999999994,-0.8660254037844387,263.0769230769231
